title,price,img,description
Hyundai Grandeur,$14200,https://im.mashina.kg/tachka/images//4/c/8/4c89211f7d10afc7be4f1456c93b0064_240x180.jpg,"Hyundai Grandeur
Год: 2015
Объем: 2.4 бензин ! 
Пробег: 88 тыс. км оригинал! ( не такси ) 
КПП: автомат 
Цвет: белый жемчуг 
Привод: передний
черный кож. салон,монитор,2-х зонный климат-контроль, обогрев руля, подогревы и обдувы всех сидений, панорамная крыша, камера зад вида ,парктроники, память сидений…
Drive mode: Eco, Sport, Comfort.
Новые зимние шины ! 
в отличном состоянии, без никаких вложений! 
Цена: 14200$
Контакты: 0556-150006 "
Mercedes-Benz S-Класс AMG,$85000,https://im.mashina.kg/tachka/images//f/5/a/f5a35fd201fa3a9b7f83e6bc7d2c3eb2_240x180.jpg,"Продаю Mercedes S63 AMG купе
Пригнан с Кореи
Объем 5.5 битурбо
Пробег 101ххх км
Полный привод
STAGE 1, примерно 650-700 сил, с возможностью отката в сток
Авто в отличном техническом состоянии, салон так же в отличном состоянии
Кузов в родном окрасе
Все что есть в машине, все работает.
Полная комплектация( Массаж горячими камнями, камеры 360, память сидений, активные сиденья, проекция, удержание полосы, открывание багажника ногой итд)
Цена 85000$
Рассмотрю варианты обмена с доплатой в обе стороны
+996707990055 ( WhatsApp имеется )"
BMW 7 серии,$75000,https://im.mashina.kg/tachka/images//1/2/2/122f3d3043b8f302d25615461d0a4090_240x180.jpg,"Bmw 740d xDrive 
Год : 2020 
Объём : 3.0(Дизель)
Пробег : 50тыс.км 
Цвет : Белый 
Цвет салона : Терракот 
Из Юж.Кореи 🇰🇷
Камеры обзора 360 
Лазер фары 
Полный М-пакет 
Массаж сидений 
Ассистент парковки 
Удержание полосы движения 
Система анти аварийного столкновение 
И много другое для комфортной и безопасности езды ! 
Самая полная комплектация ! 
Состояние нового автомобиля ! 
Цена : 75.000$ 
Телефон : +996500121200"
BMW X5,$67000,https://im.mashina.kg/tachka/images//7/7/5/775cc797400f9fb8f060c94b81d7fbb8_240x180.jpg,"BMW X5 G05
Покупался у официального дилера BMW Estocada Бишкек
Год: 2019
Пробег: 55тыс км
Объем: 3.0 дизель 
Выдвижные пороги, Хрустальные элементы в салоне Swarovski, жесты управления мультимедией, дистроник, датчик слепых зон, панорама, Laser- оптика
Состояние идеальное!!
Диски R20 на новой зимней резине Michelin Ice-North 4
Обслуживалась у официального дилера
В родном окрасе 
Цена: 67.000$
Контакты: +996557655555"
Lexus UX,$24900,https://im.mashina.kg/tachka/images//d/e/a/deafe53d44a5ae6b2ccddc82ac2d47a3_240x180.jpg,Описание отсутствует
Toyota Camry,$21000,https://im.mashina.kg/tachka/images//1/3/e/13ebd28a6209d89b6119bb64ca1cb4a9_240x180.jpg,"Срочно!
Продаю машину по причине хочу другую купить.
Машина в идеальном состоянии.
Комплектация почти полная XSE (нет только проекции)
Панорамный люк есть
Всё своевременно обслуживалось.
Сделана полная шумо-виброизоляция.
Карфакс слишком легкий (багажник только).
В идеальном состоянии.
Просто сел и поехал!
Хороший торг будет у капота!
В бонус комплект летних шин!"
Lexus GX,$65000,https://im.mashina.kg/tachka/images//a/a/d/aada503be4141f8849b0e82d779baa8b_240x180.jpg,"LEXUS GX460
2021 год, обем 4.6 бензин 
Пробег 61500 км
Ф спорт, 6 мест, черный кожаный салон
Черный потолок, все опций. 
Полное ТО пройдено
Вложений не требует ! 
Цена: 65000$ 
Возможны Варианты !
Тел 0555 555 145 W/app "
Cadillac Escalade,$105000,https://im.mashina.kg/tachka/images//9/3/4/934b31dd943da89c9aa3b176b35d3db4_240x180.jpg,"CADILLAC ESCALADE (LONG) 
Год выпуска: 2020 
Объем двигателя: 6.2
Пробег: 38.000 КМ
Цвет кузова: Черный
Отделка салона: Черная перфорированная кожа
Комплектация самая полная: Монитор, камера заднего вида, подогрев всех сидений, управление аудиосистемой на руле, и многое другое!
На новой зимней резине (Липучки)
Состояние автомобиля: Исключительное, без вложений.
Машина после детейлинг процедур-( Керамика, Химчистка, Полировка, Обклеена в бронь пленку Зоны риска 2, Полностью в Шумке в 3 слоя) 
Заменили все масла и фильтра 
Машина после полного ТО 
Машину покупали новым у официального дилера Cadillac-Almaty KZ
Машина без крашеных деталей 
ОБМЕН НА TLC 300/LX600  с моей доплатой 
Цена: 105-000 $ 
Тел: 0755 696666"
Hyundai Grandeur,$45000,https://im.mashina.kg/tachka/images//3/a/2/3a265bd77004fa91f59d2a7dc037aceb_240x180.jpg,"Hyundai Grandeur
Год: 2023
Объем: 3.5 газ
Пробег: 14тыс. км оригинал!
КПП: автомат 8ст
Цвет: черный,
Привод: передний
Коричневый кож. салон, Большой монитор 12.3, сенсорная панель 2-х зонного климат-контроль, обогрев руля, подогревы и обдувы сидений, панорамная крыша, камеры 360, парктроники,
Drive mode: Eco, Sport, Comfort.
Цена: 45000$
Контакты: +996 888 200 000"
Kia Mohave (Borrego),$39999,https://im.mashina.kg/tachka/images//7/0/0/700bf20ee5d3fa0913ff7bd5360718d7_240x180.jpg,"KIA MOHAVE 
Год выпуска: 2021 
Объем двигателя: 3.0
Топливо: дизель
Пробег: 30.000км  
Привод: Полный 
Черный кожаный салон в отличном состоянии, 3-х зонный климат контроль, 3 ряда сидений, электро привод багажника, подогрев всех сидений, обдув передних сидений, подогрев руля, камера кругового обзора 360, парктроники, беспроводная зарядка,  обогрев зеркал, большой монитор, камера заднего вида, режимы езды, авто включение дальнего света, датчик слепых зон, контроль полос, дистроник, адаптивный круиз контроль, безключевой доступ, Push Start, все стекла родные вплоть до лобового, люк, отделки салона Алькантара, электронный щит прибор, память сидений, премиум акустика «Lexicon», ДВА КЛЮЧА!
VIN: KNAKR814DMA226027
Авто в отличном состоянии! В полной комплектации! 
Растаможена и Оформлена! 
Цена: 39.999$ 
Контакты: 0502102104 "
